2021-07-10 21:35:48.680 [main] INFO  com.hfwang.eduservice.EduApplication - Starting EduApplication on M1AiR with PID 15409 (/Users/hfwang/IdeaProjects/evpl/service/service_edu/target/classes started by hfwang in /Users/hfwang/IdeaProjects/evpl)
2021-07-10 21:35:48.683 [main] INFO  com.hfwang.eduservice.EduApplication - The following profiles are active: dev
2021-07-10 21:35:49.144 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-10 21:35:49.146 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-07-10 21:35:49.160 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6ms. Found 0 repository interfaces.
2021-07-10 21:35:49.326 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-10 21:35:49.444 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-07-10 21:35:49.449 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-07-10 21:35:49.450 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-10 21:35:49.450 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-07-10 21:35:49.487 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-10 21:35:49.487 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 773 ms
2021-07-10 21:35:49.583 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-07-10 21:35:49.646 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-10 21:35:49.653 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-10 21:36:15.395 [main] INFO  com.hfwang.eduservice.EduApplication - Starting EduApplication on M1AiR with PID 15941 (/Users/hfwang/IdeaProjects/evpl/service/service_edu/target/classes started by hfwang in /Users/hfwang/IdeaProjects/evpl)
